city,city_ascii,state_id,state_name,county_name,county_fips,zip,lat,lng,population,source,id
Hoople,Hoople,ND,North Dakota,Walsh,38099,58243,48.5347143,-97.6348091,242,polygon,1840000082
Lankin,Lankin,ND,North Dakota,Walsh,38099,58250,48.311106,-97.9250945,98,polygon,1840000083
Minto,Minto,ND,North Dakota,Walsh,38099,58261,48.2916547,-97.3714652,604,polygon,1840000084
Park River,Park River,ND,North Dakota,Walsh,38099,58270,48.3986043,-97.7411999,1403,polygon,1840000085
Pisek,Pisek,ND,North Dakota,Walsh,38099,58273,48.3108259,-97.7092537,106,polygon,1840000086
Brinsmade,Brinsmade,ND,North Dakota,Benson,38005,58351,48.1824994,-99.3240238,35,polygon,1840000087
Esmond,Esmond,ND,North Dakota,Benson,38005,58332,48.0358398,-99.7620743,100,polygon,1840000088
Knox,Knox,ND,North Dakota,Benson,38005,58343,48.3402764,-99.690413,25,polygon,1840000089
Leeds,Leeds,ND,North Dakota,Benson,38005,58346,48.2888882,-99.4376352,427,polygon,1840000090
Maddock,Maddock,ND,North Dakota,Benson,38005,58348,47.9625088,-99.530133,382,polygon,1840000091
Minnewaukan,Minnewaukan,ND,North Dakota,Benson,38005,58351,48.071388,-99.2523572,224,polygon,1840000092
Oberon,Oberon,ND,North Dakota,Benson,38005,58357,47.923055,-99.2040184,105,polygon,1840000093
Aneta,Aneta,ND,North Dakota,Nelson,38063,58212,47.6794377,-97.9881509,222,polygon,1840000094
Lakota,Lakota,ND,North Dakota,Nelson,38063,58344,48.0427767,-98.3362149,672,polygon,1840000095
McVille,McVille,ND,North Dakota,Nelson,38063,58254,47.7638843,-98.1773206,349,polygon,1840000096
Pekin,Pekin,ND,North Dakota,Nelson,38063,58361,47.7908303,-98.3281559,70,polygon,1840000097
Petersburg,Petersburg,ND,North Dakota,Nelson,38063,58272,48.0111053,-98.0014885,192,polygon,1840000098
Emerado,Emerado,ND,North Dakota,Grand Forks,38035,58228,47.918875,-97.3650837,414,polygon,1840000099
Gilby,Gilby,ND,North Dakota,Grand Forks,38035,58235,48.0852671,-97.4706383,237,polygon,1840000100
Grand Forks,Grand Forks,ND,North Dakota,Grand Forks,38035,58202 58203 58201 58206 58207 58208,47.9252568,-97.0328547,52838,polygon,1840000101
Inkster,Inkster,ND,North Dakota,Grand Forks,38035,58244,48.1513804,-97.6442523,50,polygon,1840000102
Larimore,Larimore,ND,North Dakota,Grand Forks,38035,58251,47.9066569,-97.6267539,1346,polygon,1840000103
Manvel,Manvel,ND,North Dakota,Grand Forks,38035,58256,48.0777615,-97.176465,360,polygon,1840000104
Niagara,Niagara,ND,North Dakota,Grand Forks,38035,58266,47.996382,-97.8703719,53,polygon,1840000105
Northwood,Northwood,ND,North Dakota,Grand Forks,38035,58267,47.7341547,-97.5667543,945,polygon,1840000106
Reynolds,Reynolds,ND,North Dakota,Grand Forks,38035,58275,47.6722013,-97.1067515,301,polygon,1840000107
Alexander,Alexander,ND,North Dakota,McKenzie,38053,58831,47.8430756,-103.642698,223,polygon,1840000108
Arnegard,Arnegard,ND,North Dakota,McKenzie,38053,58835,47.8077966,-103.4410273,115,polygon,1840000109
Butte,Butte,ND,North Dakota,McLean,38055,58723,47.8380585,-100.6654187,68,polygon,1840000110
Garrison,Garrison,ND,North Dakota,McLean,38055,58540,47.6522225,-101.4157165,1453,polygon,1840000111
Max,Max,ND,North Dakota,McLean,38055,58759,47.8211141,-101.2987702,334,polygon,1840000112
Mercer,Mercer,ND,North Dakota,McLean,38055,58559,47.4905538,-100.7109688,94,polygon,1840000113
Riverdale,Riverdale,ND,North Dakota,McLean,38055,58531 58565,47.497499,-101.371271,205,polygon,1840000114
New Rockford,New Rockford,ND,North Dakota,Eddy,38027,58356,47.6799985,-99.1378952,1391,polygon,1840000115
Bowdon,Bowdon,ND,North Dakota,Wells,38103,58418,47.4697217,-99.7078981,131,polygon,1840000116
Fessenden,Fessenden,ND,North Dakota,Wells,38103,58438,47.6491683,-99.629289,479,polygon,1840000117
Hamberg,Hamberg,ND,North Dakota,Wells,38103,58341,47.7630597,-99.51457,21,polygon,1840000118
Harvey,Harvey,ND,North Dakota,Wells,38103,58341,47.769723,-99.935404,1783,polygon,1840000119
Hurdsfield,Hurdsfield,ND,North Dakota,Wells,38103,58451,47.4483295,-99.9284546,84,polygon,1840000120
Goodrich,Goodrich,ND,North Dakota,Sheridan,38083,58444,47.4749954,-100.1262353,98,polygon,1840000121
McClusky,McClusky,ND,North Dakota,Sheridan,38083,58463,47.4858309,-100.4431839,380,polygon,1840000122
Martin,Martin,ND,North Dakota,Sheridan,38083,58758,47.8266671,-100.1151307,78,polygon,1840000123
Dodge,Dodge,ND,North Dakota,Dunn,38025,58625,47.30612,-102.2043423,87,polygon,1840000124
Dunn Center,Dunn Center,ND,North Dakota,Dunn,38025,58626,47.3536235,-102.620462,146,polygon,1840000125
Halliday,Halliday,ND,North Dakota,Dunn,38025,58636,47.3544535,-102.3360118,188,polygon,1840000126
Killdeer,Killdeer,ND,North Dakota,Dunn,38025,58640,47.3719582,-102.7540751,751,polygon,1840000127
Finley,Finley,ND,North Dakota,Steele,38091,58230,47.5141578,-97.8359252,445,polygon,1840000128
Hope,Hope,ND,North Dakota,Steele,38091,58046,47.3222102,-97.7223196,258,polygon,1840000129
Luverne,Luverne,ND,North Dakota,Steele,38091,58056,47.2510998,-97.9348215,31,polygon,1840000130
Hannaford,Hannaford,ND,North Dakota,Griggs,38039,58448,47.3133252,-98.1864847,131,polygon,1840000131
Buxton,Buxton,ND,North Dakota,Traill,38097,58218,47.601924,-97.0973081,323,polygon,1840000132
Galesburg,Galesburg,ND,North Dakota,Traill,38097,58035,47.2699845,-97.4064772,108,polygon,1840000133
Hatton,Hatton,ND,North Dakota,Traill,38097,58240,47.6397087,-97.4534224,777,polygon,1840000134
Hillsboro,Hillsboro,ND,North Dakota,Traill,38097,58045,47.4038683,-97.0620308,1603,polygon,1840000135
Mayville,Mayville,ND,North Dakota,Traill,38097,58257,47.4980408,-97.3245354,1858,polygon,1840000136
Portland,Portland,ND,North Dakota,Traill,38097,58274,47.4983191,-97.3703689,606,polygon,1840000137
Carrington,Carrington,ND,North Dakota,Foster,38031,58421,47.4497201,-99.1262234,2065,polygon,1840000138
Glenfield,Glenfield,ND,North Dakota,Foster,38031,58443,47.4533296,-98.5673223,91,polygon,1840000139
Grace City,Grace City,ND,North Dakota,Foster,38031,58445,47.5513859,-98.8053836,63,polygon,1840000140
McHenry,McHenry,ND,North Dakota,Foster,38031,58464,47.576108,-98.5914904,56,polygon,1840000141
Golden Valley,Golden Valley,ND,North Dakota,Mercer,38057,58541,47.2908418,-102.0646172,182,polygon,1840000142
Hazen,Hazen,ND,North Dakota,Mercer,38057,58545,47.2944481,-101.622665,2411,polygon,1840000143
Pick City,Pick City,ND,North Dakota,Mercer,38057,58545,47.5113887,-101.4537737,123,polygon,1840000144
Caribou,Caribou,ME,Maine,Aroostook,23003,04736,46.8605982,-68.0119714,8189,polygon,1840000145
Presque Isle,Presque Isle,ME,Maine,Aroostook,23003,04769,46.681153,-68.0158616,9692,polygon,1840000146
Medora,Medora,ND,North Dakota,Billings,38007,58645,46.9139028,-103.5243536,112,polygon,1840000147
Golva,Golva,ND,North Dakota,Golden Valley,38033,58632,46.7341788,-103.9863168,61,polygon,1840000148
Dawson,Dawson,ND,North Dakota,Kidder,38043,58428,46.8685954,-99.751495,61,polygon,1840000149
Pettibone,Pettibone,ND,North Dakota,Kidder,38043,58475,47.1191585,-99.5195561,70,polygon,1840000150
Robinson,Robinson,ND,North Dakota,Kidder,38043,58478,47.1427682,-99.7812206,37,polygon,1840000151
Buchanan,Buchanan,ND,North Dakota,Stutsman,38093,58420,47.0624924,-98.8289956,90,polygon,1840000152
Jamestown,Jamestown,ND,North Dakota,Stutsman,38093,58401 58402 58405,46.9105438,-98.7084357,15427,polygon,1840000153
Kensal,Kensal,ND,North Dakota,Stutsman,38093,58455,47.3008296,-98.7334377,163,polygon,1840000154
Medina,Medina,ND,North Dakota,Stutsman,38093,58467,46.8938758,-99.2998334,308,polygon,1840000155
Montpelier,Montpelier,ND,North Dakota,Stutsman,38093,58472,46.7002601,-98.5900955,87,polygon,1840000156
Pingree,Pingree,ND,North Dakota,Stutsman,38093,58476,47.163328,-98.9070537,60,polygon,1840000157
Lincoln,Lincoln,ND,North Dakota,Burleigh,38015,58504,46.7624938,-100.7004025,2406,polygon,1840000158
Regan,Regan,ND,North Dakota,Burleigh,38015,58477,47.1580494,-100.528177,43,polygon,1840000159
Valley City,Valley City,ND,North Dakota,Barnes,38003,58072,46.9233129,-98.0031547,6585,polygon,1840000160
Dazey,Dazey,ND,North Dakota,Barnes,38003,58429,47.1905449,-98.2017618,104,polygon,1840000161
Fingal,Fingal,ND,North Dakota,Barnes,38003,58031,46.7605329,-97.7903815,97,polygon,1840000162
Kathryn,Kathryn,ND,North Dakota,Barnes,38003,58049,46.6780313,-97.968712,52,polygon,1840000163
Leal,Leal,ND,North Dakota,Barnes,38003,58479,47.1052665,-98.3173158,20,polygon,1840000164
Litchville,Litchville,ND,North Dakota,Barnes,38003,58461,46.6535903,-98.1942616,172,polygon,1840000165
Nome,Nome,ND,North Dakota,Barnes,38003,58062,46.6777529,-97.8103807,62,polygon,1840000166
Oriska,Oriska,ND,North Dakota,Barnes,38003,58063,46.9305334,-97.7889918,118,polygon,1840000167
Pillsbury,Pillsbury,ND,North Dakota,Barnes,38003,58046 58065,47.2069306,-97.7906569,12,polygon,1840000168
Alice,Alice,ND,North Dakota,Cass,38017,58027 58031,46.7619199,-97.5559299,40,polygon,1840000169
Amenia,Amenia,ND,North Dakota,Cass,38017,58004,47.0049744,-97.2189763,94,polygon,1840000170
Argusville,Argusville,ND,North Dakota,Cass,38017,58005,47.0521927,-96.9345275,475,polygon,1840000171
Arthur,Arthur,ND,North Dakota,Cass,38017,58006,47.1041435,-97.2181431,337,polygon,1840031864
Briarwood,Briarwood,ND,North Dakota,Cass,38017,58104,46.7860752,-96.7970272,73,polygon,1840000173
Buffalo,Buffalo,ND,North Dakota,Cass,38017,58011,46.9196986,-97.5495386,188,polygon,1840000174
Casselton,Casselton,ND,North Dakota,Cass,38017,58012,46.9005292,-97.2111999,2329,polygon,1840000175
Davenport,Davenport,ND,North Dakota,Cass,38017,58021,46.7141358,-97.0700892,252,polygon,1840000176
Fargo,Fargo,ND,North Dakota,Cass,38017,58102 58103 58105 58104 58106 58107 58108 58109 58121 58122 58124 58125 58126,46.8771863,-96.7898034,105549,polygon,1840000177
Frontier,Frontier,ND,North Dakota,Cass,38017,58104,46.8005206,-96.8331391,214,polygon,1840000178
Gardner,Gardner,ND,North Dakota,Cass,38017,58036,47.1471966,-96.9678613,74,polygon,1840000179
Grandin,Grandin,ND,North Dakota,Cass,38017,58038,47.2369226,-97.001473,173,polygon,1840000180
Harwood,Harwood,ND,North Dakota,Cass,38017,58042,46.9794115,-96.8806377,718,polygon,1840000181
Horace,Horace,ND,North Dakota,Cass,38017,58047,46.7588553,-96.9036971,2430,polygon,1840000182
Hunter,Hunter,ND,North Dakota,Cass,38017,58048,47.1905344,-97.2170321,261,polygon,1840000183
Kindred,Kindred,ND,North Dakota,Cass,38017,58051,46.6485779,-97.0170323,692,polygon,1840000184
Leonard,Leonard,ND,North Dakota,Cass,38017,58052,46.6519149,-97.2456467,223,polygon,1840000185
Mapleton,Mapleton,ND,North Dakota,Cass,38017,58059,46.8891375,-97.0525872,762,polygon,1840000186
North River,North River,ND,North Dakota,Cass,38017,58102,46.9507978,-96.8025805,56,polygon,1840000187
Page,Page,ND,North Dakota,Cass,38017,58064,47.1597055,-97.5712038,232,polygon,1840000188
Prairie Rose,Prairie Rose,ND,North Dakota,Cass,38017,58104,46.8174651,-96.8356389,73,polygon,1840000189
Reile's Acres,Reile's Acres,ND,North Dakota,Cass,38017,58102,46.9269129,-96.8664846,513,polygon,1840000190
Hill City,Hill City,MN,Minnesota,Aitkin,27001,55748,46.9932847,-93.5985615,633,polygon,1840000191
Dickinson,Dickinson,ND,North Dakota,Stark,38089,58601 58602,46.8791756,-102.7896242,17787,polygon,1840000192
Gladstone,Gladstone,ND,North Dakota,Stark,38089,58630,46.8608403,-102.5679579,239,polygon,1840000193
Richardton,Richardton,ND,North Dakota,Stark,38089,58652,46.8838957,-102.3157292,529,polygon,1840000194
Almont,Almont,ND,North Dakota,Morton,38059,58520,46.7252795,-101.5026443,122,polygon,1840000195
Flasher,Flasher,ND,North Dakota,Morton,38059,58535,46.4561128,-101.2326433,232,polygon,1840000196
Glen Ullin,Glen Ullin,ND,North Dakota,Morton,38059,58631,46.8150051,-101.829877,807,polygon,1840000197
Hebron,Hebron,ND,North Dakota,Morton,38059,58638,46.9005626,-102.0454416,747,polygon,1840000198
Mandan,Mandan,ND,North Dakota,Morton,38059,58554,46.8266603,-100.8895762,18331,polygon,1840000199
New Salem,New Salem,ND,North Dakota,Morton,38059,58563,46.844999,-101.4112545,946,polygon,1840000200
Carson,Carson,ND,North Dakota,Grant,38037,58529,46.4177836,-101.5648653,293,polygon,1840000201
Elgin,Elgin,ND,North Dakota,Grant,38037,58533,46.4038957,-101.8459791,642,polygon,1840000202
Leith,Leith,ND,North Dakota,Grant,38037,58529,46.3583395,-101.6365298,16,polygon,1840000203
New Leipzig,New Leipzig,ND,North Dakota,Grant,38037,58562,46.3761171,-101.9398717,221,polygon,1840000204
Braddock,Braddock,ND,North Dakota,Emmons,38029,58524,46.5644311,-100.0909421,21,polygon,1840000205
Hague,Hague,ND,North Dakota,Emmons,38029,58542,46.0285994,-99.9956683,71,polygon,1840000206
Hazelton,Hazelton,ND,North Dakota,Emmons,38029,58544,46.4847126,-100.2795573,235,polygon,1840000207
Linton,Linton,ND,North Dakota,Emmons,38029,58552,46.2666567,-100.2328916,1097,polygon,1840000208
Fredonia,Fredonia,ND,North Dakota,Logan,38047,58440,46.3288597,-99.0956648,46,polygon,1840000209
Gackle,Gackle,ND,North Dakota,Logan,38047,58442,46.6258113,-99.1420541,310,polygon,1840000210
Napoleon,Napoleon,ND,North Dakota,Logan,38047,58561,46.5034317076,-99.7620110415,792,polygon,1840000211
Amidon,Amidon,ND,North Dakota,Slope,38087,58620,46.4822327,-103.3218466,20,polygon,1840000212
Marmarth,Marmarth,ND,North Dakota,Slope,38087,58643,46.2950062,-103.9207615,136,polygon,1840000213
Verona,Verona,ND,North Dakota,LaMoure,38045,58490,46.3638572,-98.0723229,85,polygon,1840000214
Dickey,Dickey,ND,North Dakota,LaMoure,38045,58431,46.5369203,-98.4678716,42,polygon,1840000215
Edgeley,Edgeley,ND,North Dakota,LaMoure,38045,58433,46.3591377,-98.7156564,563,polygon,1840000216
Jud,Jud,ND,North Dakota,LaMoure,38045,58454,46.5260853,-98.8956607,72,polygon,1840000217
Kulm,Kulm,ND,North Dakota,LaMoure,38045,58456,46.3019144,-98.9481624,354,polygon,1840000218
LaMoure,LaMoure,ND,North Dakota,LaMoure,38045,58458,46.3571915,-98.2945434,889,polygon,1840000219
Marion,Marion,ND,North Dakota,LaMoure,38045,58466,46.6072008,-98.3323162,133,polygon,1840000220
Mott,Mott,ND,North Dakota,Hettinger,38041,58646,46.3725031,-102.3271061,721,polygon,1840000221
New England,New England,ND,North Dakota,Hettinger,38041,58647,46.5391751,-102.8682231,600,polygon,1840000222
Regent,Regent,ND,North Dakota,Hettinger,38041,58650,46.4216712,-102.555719,160,polygon,1840000223
Elliott,Elliott,ND,North Dakota,Ransom,38073,58054,46.4021898,-97.8148228,25,polygon,1840000224
Enderlin,Enderlin,ND,North Dakota,Ransom,38073,58027,46.623028,-97.6014862,886,polygon,1840000225
Fort Ransom,Fort Ransom,ND,North Dakota,Ransom,38073,58033,46.5208041,-97.9262128,77,polygon,1840000226
Lisbon,Lisbon,ND,North Dakota,Ransom,38073,58054,46.4416344,-97.6812096,2154,polygon,1840000227
Wahpeton,Wahpeton,ND,North Dakota,Richland,38077,58075 58076 58074,46.2652367,-96.6059072,7766,polygon,1840000228
Dwight,Dwight,ND,North Dakota,Richland,38077,58075,46.3041254,-96.7381329,82,polygon,1840000229
Fairmount,Fairmount,ND,North Dakota,Richland,38077,58030,46.0549591,-96.6022941,367,polygon,1840000230
Great Bend,Great Bend,ND,North Dakota,Richland,38077,58075,46.1538473,-96.8020228,60,polygon,1840000231
Hankinson,Hankinson,ND,North Dakota,Richland,38077,58041,46.069681,-96.9017476,919,polygon,1840000232
Lidgerwood,Lidgerwood,ND,North Dakota,Richland,38077,58053,46.0755158,-97.1517554,652,polygon,1840000233
Mantador,Mantador,ND,North Dakota,Richland,38077,58058,46.1652369,-96.9773059,64,polygon,1840000234
Mooreton,Mooreton,ND,North Dakota,Richland,38077,58061,46.26857,-96.8761923,197,polygon,1840000235
Fort Yates,Fort Yates,ND,North Dakota,Sioux,38085,58538,46.0869408,-100.6301271,184,polygon,1840000236
Pine City,Pine City,MN,Minnesota,Pine,27115,55063,45.8260672,-92.9685423,3123,polygon,1840000237
Bangor,Bangor,ME,Maine,Penobscot,23019,04401 04402,44.8011821,-68.7778138,33039,polygon,1840000238
Brewer,Brewer,ME,Maine,Penobscot,23019,04412,44.7967379,-68.7614246,9482,polygon,1840000239
Old Town,Old Town,ME,Maine,Penobscot,23019,04468 04489,44.9342349,-68.6453092,7840,polygon,1840000240
Bucyrus,Bucyrus,ND,North Dakota,Adams,38001,58639,46.0638952,-102.7882137,27,polygon,1840000241
Haynes,Haynes,ND,North Dakota,Adams,38001,58639,45.9741705,-102.4709914,23,polygon,1840000242
Hettinger,Hettinger,ND,North Dakota,Adams,38001,58639,46.0013946,-102.6368239,1226,polygon,1840000243
Reeder,Reeder,ND,North Dakota,Adams,38001,58649,46.1058393,-102.9454423,162,polygon,1840000244
Forman,Forman,ND,North Dakota,Sargent,38081,58032,46.1077418,-97.6364861,504,polygon,1840000245
Gwinner,Gwinner,ND,North Dakota,Sargent,38081,58040,46.2257963,-97.6625959,753,polygon,1840000246
Havana,Havana,ND,North Dakota,Sargent,38081,58043,45.95024,-97.618988,71,polygon,1840000247
Milnor,Milnor,ND,North Dakota,Sargent,38081,58060,46.2591278,-97.4562022,653,polygon,1840000248
Venturia,Venturia,ND,North Dakota,McIntosh,38051,58413,45.9985882,-99.5462279,10,polygon,1840000249
Lehr,Lehr,ND,North Dakota,McIntosh,38051,58460,46.2796939,-99.3523336,80,polygon,1840000250
Ellendale,Ellendale,ND,North Dakota,Dickey,38021,58436,46.0027502,-98.5270458,1394,polygon,1840000251
Forbes,Forbes,ND,North Dakota,Dickey,38021,58439,45.9435847,-98.7820478,53,polygon,1840000252
Fullerton,Fullerton,ND,North Dakota,Dickey,38021,58441,46.1652468,-98.4270443,54,polygon,1840000253
